iter	Passed	Remaining
402	10794	257067
403	10822	257071
404	10853	257122
405	10880	257119
406	10908	257109
407	10932	257012
408	10956	256918
409	10985	256943
410	11012	256939
411	11040	256937
412	11062	256800
413	11091	256811
414	11117	256784
415	11144	256761
416	11172	256758
417	11198	256709
418	11224	256660
419	11251	256635
420	11280	256662
421	11306	256621
422	11333	256596
423	11360	256573
424	11387	256546
425	11415	256563
426	11441	256505
427	11472	256574
428	11501	256591
429	11530	256615
430	11560	256653
431	11585	256593
432	11610	256534
433	11634	256440
434	11659	256385
435	11685	256327
436	11711	256295
437	11739	256289
438	11768	256313
439	11798	256345
440	11825	256324
441	11851	256290
442	11876	256221
443	11905	256241
444	11929	256155
445	11955	256108
446	11980	256048
447	12007	256016
448	12039	256102
449	12071	256188
450	12098	256164
451	12128	256192
452	12155	256187
453	12183	256182
454	12212	256188
455	12235	256080
456	12261	256038
457	12289	256039
458	12314	255979
459	12342	255976
460	12369	255943
461	12395	255898
462	12419	255818
463	12446	255796
464	12469	255690
465	12493	255599
466	12518	255553
467	12545	255527
468	12575	255563
469	12602	255541
470	12629	255518
471	12655	255462
472	12683	255470
473	12709	255426
474	12737	255418
475	12760	255325
476	12785	255253
477	12809	255173
478	12836	255155
479	12864	255145
480	12896	255217
481	12927	255283
482	12951	255193
483	12978	255175
484	13006	255167
485	13034	255164
486	13060	255129
487	13085	255060
488	13115	255098
489	13146	255157
490	13173	255117
491	13196	255016
492	13223	254999
493	13253	255037
494	13276	254932
495	13301	254872
496	13329	254876
497	13360	254928
498	13390	254958
499	13416	254911
500	13444	254908
501	13471	254875
502	13495	254809
503	13519	254723
504	13544	254658
505	13570	254630
506	13594	254546
507	13621	254510
508	13647	254481
509	13675	254466
510	13701	254438
511	13724	254335
512	13749	254275
513	13776	254252
514	13804	254235
515	13829	254192
516	13855	254138
517	13885	254182
518	13909	254089
519	13933	254015
520	13957	253936
521	13980	253846
522	14000	253704
523	14029	253704
524	14055	253661
525	14077	253561
526	14102	253502
527	14129	253476
528	14157	253466
529	14181	253394
530	14202	253271
531	14231	253283
532	14258	253254
533	14284	253212
534	14307	253130
535	14331	253054
536	14358	253022
537	14385	252999
538	14413	252994
539	14441	252993
540	14468	252975
541	14493	252908
542	14517	252837
543	14542	252788
544	14568	252745
545	14594	252701
546	14624	252729
547	14651	252720
548	14678	252697
549	14707	252700
550	14735	252698
551	14764	252705
552	14789	252643
553	14818	252655
554	14844	252626
555	14870	252592
556	14896	252541
557	14925	252549
558	14955	252590
559	14982	252565
560	15007	252507
561	15031	252433
562	15060	252440
563	15085	252387
564	15112	252371
565	15140	252358
566	15164	252293
567	15187	252194
568	15211	252118
569	15237	252094
570	15262	252039
571	15289	252001
572	15314	251948
573	15342	251940
574	15362	251811
575	15389	251784
576	15416	251769
577	15441	251708
578	15468	251693
579	15494	251657
580	15521	251630
581	15545	251551
582	15574	251563
583	15601	251541
584	15628	251528
585	15658	251553
586	15684	251519
587	15711	251488
588	15737	251456
589	15764	251430
590	15795	251476
591	15821	251437
592	15843	251338
593	15873	251358
594	15901	251347
595	15931	251367
596	15957	251344
597	15983	251301
598	16009	251267
599	16036	251235
600	16063	251214
601	16092	251230
602	16121	251237
603	16145	251160
604	16171	251133
605	16197	251081
606	16222	251029
607	16250	251025
608	16275	250977
609	16304	250982
610	16334	251002
611	16361	250976
612	16388	250966
613	16415	250940
614	16440	250887
615	16466	250842
616	16491	250794
617	16522	250825
618	16549	250812
619	16573	250741
620	16600	250719
621	16622	250616
622	16647	250562
623	16670	250478
624	16692	250392
625	16716	250327
626	16744	250307
627	16774	250339
628	16800	250302
629	16826	250260
630	16853	250240
631	16881	250227
632	16906	250173
633	16932	250147
634	16960	250128
635	16985	250084
636	17013	250071
637	17041	250060
638	17070	250080
639	17100	250098
640	17128	250087
641	17152	250013
642	17180	250016
643	17209	250019
644	17238	250029
645	17264	249982
646	17293	250001
647	17320	249976
648	17347	249952
649	17372	249899
650	17397	249842
651	17424	249815
652	17449	249763
653	17474	249721
654	17498	249655
655	17528	249669
656	17558	249691
657	17581	249619
658	17609	249607
659	17635	249566
660	17658	249491
661	17686	249477
662	17713	249463
663	17742	249470
664	17769	249440
665	17795	249405
666	17820	249348
667	17846	249323
668	17877	249353
669	17901	249289
670	17933	249330
671	17963	249345
672	17990	249326
673	18018	249322
674	18041	249238
675	18068	249210
676	18094	249177
677	18116	249093
678	18145	249096
679	18170	249046
680	18196	249006
681	18223	248982
682	18253	249007
683	18277	248942
684	18304	248915
685	18330	248875
686	18360	248891
687	18386	248857
688	18410	248795
689	18436	248761
690	18460	248698
691	18487	248669
692	18511	248604
693	18534	248527
694	18560	248500
695	18586	248461
696	18616	248476
697	18639	248398
698	18668	248400
699	18693	248359
700	18722	248365
701	18749	248334
702	18775	248299
703	18801	248260
704	18827	248234
705	18852	248184
706	18882	248197
707	18907	248147
708	18930	248078
709	18952	247989
710	18976	247924
711	19000	247861
712	19028	247846
713	19051	247778
714	19075	247720
715	19101	247680
716	19128	247655
717	19156	247648
718	19183	247624
719	19212	247633
720	19239	247609
721	19264	247554
722	19291	247535
723	19318	247506
724	19340	247427
725	19366	247386
726	19389	247316
727	19417	247302
728	19442	247264
729	19470	247249
730	19497	247228
731	19523	247190
732	19550	247173
733	19577	247150
734	19602	247101
735	19627	247052
736	19656	247048
737	19682	247022
738	19708	246986
739	19733	246930
740	19759	246899
741	19785	246862
742	19814	246862
743	19840	246835
744	19867	246812
745	19892	246765
746	19919	246742
747	19942	246672
748	19969	246650
749	19995	246616
750	20021	246574
751	20044	246510
752	20072	246500
753	20100	246489
754	20128	246468
755	20156	246464
756	20184	246457
757	20215	246477
758	20237	246397
759	20265	246384
760	20295	246397
761	20319	246335
762	20346	246321
763	20375	246324
764	20401	246285
765	20429	246271
766	20453	246219
767	20479	246182
768	20507	246174
769	20537	246186
770	20565	246174
771	20592	246150
772	20618	246120
773	20643	246063
774	20668	246024
775	20697	246023
776	20718	245931
777	20749	245958
778	20773	245890
779	20797	245836
780	20828	245856
781	20853	245811
782	20880	245798
783	20910	245807
784	20937	245783
785	20964	245765
786	20992	245752
787	21021	245753
788	21048	245728
789	21076	245709
790	21103	245689
791	21130	245666
792	21157	245650
793	21185	245632
794	21214	245629
795	21240	245595
796	21267	245573
797	21293	245544
798	21319	245509
799	21347	245495
800	21375	245485
801	21405	245492
802	21434	245499
803	21459	245451
804	21486	245428
805	21512	245391
806	21540	245382
807	21566	245342
808	21590	245292
809	21618	245276
810	21645	245251
811	21675	245259
