iter	RMSE
0	0.8744102169
1	0.7940452138
2	0.7215712708
3	0.6558105524
4	0.5971793083
5	0.5440139227
6	0.4961301695
7	0.4534560075
8	0.4138264205
9	0.3784703717
10	0.3468552128
11	0.3183646224
12	0.2925277985
13	0.2690791447
14	0.2479984632
15	0.2291146476
16	0.212466373
17	0.1970103844
18	0.1832843812
19	0.1710078101
20	0.1596510094
21	0.14928814
22	0.1401450282
23	0.1320047692
24	0.1246659868
25	0.1179422472
26	0.1121206588
27	0.1070028662
28	0.1021399896
29	0.09801152855
30	0.09421854066
31	0.09092341633
32	0.08809512098
33	0.08552070096
34	0.08332890942
35	0.08126082207
36	0.07940678093
37	0.07765946971
38	0.07618628539
39	0.07482459148
40	0.07376106837
41	0.07270947582
42	0.07182629266
43	0.07102422754
44	0.07016982794
45	0.06957722521
46	0.06900437395
47	0.06844527167
48	0.06788007784
49	0.06742066071
50	0.0669486629
51	0.06661487497
52	0.06623155108
53	0.06594831102
54	0.0656467873
55	0.06542044073
56	0.06515978867
57	0.06497313853
58	0.06480461628
59	0.06464939523
60	0.06451315373
61	0.06435700727
62	0.06424355877
63	0.06413552149
64	0.06403269798
65	0.06393751355
66	0.0638499589
67	0.06371764008
68	0.063637915
69	0.06352333895
70	0.06342305813
71	0.06335328553
72	0.06329680448
73	0.06324250654
74	0.06319344779
75	0.06313003196
76	0.06305813689
77	0.06300418748
78	0.06297043015
79	0.06294082175
80	0.06289357774
81	0.0628242963
82	0.062792294
83	0.06275081027
84	0.06272016126
85	0.06270062612
86	0.06267836944
87	0.06262676337
88	0.06257514443
89	0.06254106838
90	0.06250214701
91	0.06245905053
92	0.06243391871
93	0.06235698773
94	0.06232406831
95	0.06229614334
96	0.06225591734
97	0.06221521296
98	0.06218203557
99	0.06215823032
100	0.06210924325
101	0.06207703427
102	0.06205792103
103	0.06201246146
104	0.06198181851
105	0.06196072453
106	0.06191751044
107	0.06189020685
108	0.06186799631
109	0.06182086705
110	0.06180206544
111	0.06176847489
112	0.0617361912
113	0.06170450943
114	0.06168921696
115	0.06165120842
116	0.06162519239
117	0.06160531497
118	0.06157675071
119	0.06155338559
120	0.06152514335
121	0.0615025622
122	0.06146667435
123	0.06144340648
124	0.06141316364
125	0.06139054855
126	0.06136947922
127	0.06134852986
128	0.06131312891
